LGA,LGA name,ABSTUDY (Living allowance),ABSTUDY (Non-living allowance),Age Pension,Austudy,Carer Allowance,Carer Allowance (Child Health Care Card only),Carer Payment,Commonwealth Seniors Health Card,Disability Support Pension,Family Tax Benefit A,Family Tax Benefit B,Health Care Card,Low Income Card,Newstart Allowance,Parenting Payment Partnered,Parenting Payment Single,Partner Allowance,Pensioner Concession Card,Sickness Allowance,Special Benefit,Widow Allowance,Widow B Pension,Wife Pension (Partner on Age Pension),Wife Pension (Partner on Disability Support Pension),Youth Allowance (other),Youth Allowance (student and apprentice),year,month,date,Commonwealth Rent Assistance,Pension Concession Card,JobSeeker Payment,Commonwealth Rent Assistance (income units)
10050,Albury (C),18,64,6574,76,1532,41,610,668,2224,3812,3014,3641,894,2170,178,825,6.0,11329,16,0,32.0,0.0,6.0,13.0,425,459,2016,december,2016-12-01,,,,
10110,Armidale Dumaresq (A),62,100,2510,65,545,17,259,440,1019,1647,1287,2135,838,958,117,347,0.0,4539,0,0,8.0,0.0,0.0,0.0,202,813,2016,december,2016-12-01,,,,
10150,Ashfield (A),9,6,4154,75,769,11,268,581,904,1553,1210,1458,439,822,79,149,7.0,5954,8,31,30.0,0.0,11.0,0.0,42,291,2016,december,2016-12-01,,,,
10200,Auburn (C),6,0,5714,194,2438,55,1584,440,2119,6689,5266,6285,1504,2622,972,628,14.0,11491,17,130,101.0,0.0,53.0,16.0,230,974,2016,december,2016-12-01,,,,
10250,Ballina (A),18,63,7025,100,1249,36,545,822,1841,3104,2293,2576,444,1572,186,480,8.0,10790,19,0,34.0,0.0,9.0,15.0,200,162,2016,december,2016-12-01,,,,
10300,Balranald (A),0,0,262,0,57,0,26,15,93,157,118,92,20,55,0,22,0.0,440,0,0,0.0,0.0,0.0,0.0,0,5,2016,december,2016-12-01,,,,
10350,Bankstown (C),24,29,20994,304,8799,323,5559,1486,6922,17518,13829,14718,3293,6539,2235,2191,47.0,39917,39,144,257.0,0.0,131.0,60.0,523,2320,2016,december,2016-12-01,,,,
10470,Bathurst Regional (A),40,84,4669,81,1067,44,464,507,1691,2879,2277,2554,754,1218,173,698,0.0,8128,14,0,18.0,0.0,0.0,0.0,258,592,2016,december,2016-12-01,,,,
10550,Bega Valley (A),18,59,6162,39,969,16,432,649,1908,2416,1808,1922,347,1260,166,401,11.0,9655,9,0,33.0,0.0,8.0,12.0,156,121,2016,december,2016-12-01,,,,
10600,Bellingen (A),5,11,2139,32,375,0,178,235,658,1139,889,989,167,658,81,195,0.0,3580,5,0,9.0,0.0,7.0,5.0,73,55,2016,december,2016-12-01,,,,
10650,Berrigan (A),0,6,1721,7,275,0,113,201,325,577,421,459,106,268,23,105,0.0,2418,0,0,9.0,0.0,0.0,0.0,28,24,2016,december,2016-12-01,,,,
10750,Blacktown (C),88,352,26380,402,10382,558,5342,1375,10190,28050,21953,20623,3953,10419,1806,4811,41.0,52892,90,222,330.0,0.0,100.0,69.0,1405,2322,2016,december,2016-12-01,,,,
10800,Bland (A),0,6,801,0,153,0,71,146,234,386,288,264,31,141,20,72,0.0,1244,0,0,6.0,0.0,0.0,0.0,21,9,2016,december,2016-12-01,,,,
10850,Blayney (A),0,0,908,5,192,7,77,124,255,482,356,376,64,220,19,99,0.0,1453,0,0,0.0,0.0,0.0,0.0,36,16,2016,december,2016-12-01,,,,
10900,Blue Mountains (C),19,24,10261,137,1830,82,619,1215,2503,4302,3294,3592,896,1802,178,652,7.0,15033,24,0,51.0,0.0,7.0,16.0,180,349,2016,december,2016-12-01,,,,
10950,Bogan (A),6,19,361,0,46,0,16,52,85,193,153,170,22,99,9,55,0.0,554,0,0,0.0,0.0,0.0,0.0,15,0,2016,december,2016-12-01,,,,
11000,Bombala (A),0,0,359,0,60,0,30,44,122,162,109,132,28,70,11,22,0.0,577,0,0,0.0,0.0,0.0,0.0,14,0,2016,december,2016-12-01,,,,
11050,Boorowa (A),0,0,372,0,82,0,32,54,126,180,137,150,33,78,9,31,0.0,611,0,0,0.0,0.0,5.0,0.0,7,12,2016,december,2016-12-01,,,,
